,division,age,gender,edu,occupation,device_count_5_yr,last_dumped_device,dump_within,dump_reason,did_with_device,did_with_data,miss_dev,memory_dev,miss_another,normally_do,device_to_rep,self_try,self_try_chlng,rprd_usage_chlng,rpr_missing_trait,bad_rep_exp,dev_tknto_rec,dev_rec_chlng,will_dev_rec,prblm_not_recd
100,Dhaka,20-29,Man,Bachelors,Student,3-4,Smartphone,<6 mn,6,1,5.0,N,N,N,1,Laptop,3,"5, 6",1,"2, 3, 4, 6",NC,Desktop,"4, 5",,"1, 2, 5"
101,Dhaka,30-39,Man,Masters,Business,4-6,Smartphone,<1 yr,1,3,4.0,N,N,Y,1,"Smartphone, Desktop, Laptop",1,4,"1, 2","3, 6",N,Nothing,3,N,2
102,Dhaka,20-29,Woman,High School,Student,1-2,Laptop,<1 mn,"5, 9",1,5.0,Y,Y,Y,1,Smartphone,1,"5, 7","3, 4, 7","5, 6",NC,Nothing,"1, 2, 3",,
103,Dhaka,20-29,Man,Bachelors,Unemployed,3-4,Smartphone,<2 yr,"2, 6","1, 4",5.0,N,Y,Y,"3, 4","Desktop, Laptop","2, 3","5, 6","3, 7","3, 6",Y,Smartphone,1,Y,"2, 5"
104,Khulna,20-29,Woman,Bachelors,Student,3-4,Smartphone,<2 yr,3,1,1.0,Y,Y,N,1,"Smartphone, Laptop","2, 3",5,1,"2, 3, 4, 6",Y,Nothing,1,Y,"1, 2, 3, 4, 5"
105,Dhaka,20-29,Man,Bachelors,Student,3-4,Smartphone,<6 mn,"1, 2, 6",1,5.0,Y,Y,Y,1,"Smartphone, Desktop",3,"1, 6","2, 3, 7","2, 4, 5",NC,"Desktop, Laptop","2, 3",Y,"2, 5"
106,Chittagong,20-29,Woman,Bachelors,Student,4-6,Laptop,<1 yr,"3, 6",1,5.0,N,N,N,1,"Smartphone, Featurephone, Laptop",1,5,"3, 4","2, 4, 6",NC,Nothing,5,,"1, 2"
107,Dhaka,20-29,Man,Bachelors,Student,3-4,Smartphone,<1 yr,6,1,5.0,N,N,Y,1,Laptop,1,4,"2, 4",,N,Nothing,1,N,1
108,Barisal,20-29,Woman,Bachelors,Student,4-6,Smartphone,<6 mn,"3, 5",1,2.0,Y,Y,N,1,"Smartphone, Featurephone, Laptop",1,"1, 4, 5, 7",2,"2, 3, 4, 5, 6",NC,Nothing,"2, 3, 4",,"1, 2"
109,Dhaka,20-29,Woman,High School,Student,3-4,Smartphone,<4 yr,6,1,5.0,Y,N,N,4,Laptop,3,1,4,"2, 6",NC,Nothing,2,,"1, 2"
110,Dhaka,20-29,Man,Bachelors,Student,3-4,Smartphone,<2 yr,"2, 3, 5, 6","1, 3",4.0,N,N,N,"1, 2, 3, 4",Smartphone,"2, 3","1, 4, 5, 6, 7","2, 3, 4","1, 2, 3, 4, 5, 6",NC,Featurephone,"1, 2, 4",,"1, 2, 3, 4"
